Игрок 69 - Начальная сумма: 106, Конечная сумма: 0
Игрок 43 - Начальная сумма: 125, Конечная сумма: 0
Игрок 8 - Начальная сумма: 126, Конечная сумма: 0
Игрок 48 - Начальная сумма: 203, Конечная сумма: 0
Игрок 33 - Начальная сумма: 112, Конечная сумма: 0
Игрок 40 - Начальная сумма: 159, Конечная сумма: 0
Игрок 85 - Начальная сумма: 155, Конечная сумма: 0
Игрок 84 - Начальная сумма: 282, Конечная сумма: 0
Игрок 19 - Начальная сумма: 130, Конечная сумма: 0
Игрок 2 - Начальная сумма: 171, Конечная сумма: 0
Игрок 42 - Начальная сумма: 136, Конечная сумма: 0
Игрок 50 - Начальная сумма: 188, Конечная сумма: 0
Игрок 36 - Начальная сумма: 267, Конечная сумма: 0
Игрок 32 - Начальная сумма: 223, Конечная сумма: 0
Игрок 51 - Начальная сумма: 257, Конечная сумма: 0
Игрок 56 - Начальная сумма: 374, Конечная сумма: 0
Игрок 67 - Начальная сумма: 172, Конечная сумма: 0
Игрок 88 - Начальная сумма: 144, Конечная сумма: 0
Игрок 77 - Начальная сумма: 167, Конечная сумма: 0
Игрок 86 - Начальная сумма: 352, Конечная сумма: 0
Игрок 23 - Начальная сумма: 261, Конечная сумма: 0
Игрок 47 - Начальная сумма: 235, Конечная сумма: 0
Игрок 28 - Начальная сумма: 198, Конечная сумма: 0
Игрок 49 - Начальная сумма: 162, Конечная сумма: 0
Игрок 52 - Начальная сумма: 171, Конечная сумма: 0
Игрок 34 - Начальная сумма: 233, Конечная сумма: 0
Игрок 57 - Начальная сумма: 306, Конечная сумма: 0
Игрок 82 - Начальная сумма: 235, Конечная сумма: 0
Игрок 9 - Начальная сумма: 466, Конечная сумма: 0
Игрок 15 - Начальная сумма: 223, Конечная сумма: 0
Игрок 30 - Начальная сумма: 262, Конечная сумма: 0
Игрок 68 - Начальная сумма: 374, Конечная сумма: 0
Игрок 66 - Начальная сумма: 204, Конечная сумма: 0
Игрок 61 - Начальная сумма: 183, Конечная сумма: 0
Игрок 53 - Начальная сумма: 315, Конечная сумма: 0
Игрок 94 - Начальная сумма: 361, Конечная сумма: 0
Игрок 78 - Начальная сумма: 307, Конечная сумма: 0
Игрок 95 - Начальная сумма: 155, Конечная сумма: 0
Игрок 10 - Начальная сумма: 329, Конечная сумма: 0
Игрок 3 - Начальная сумма: 325, Конечная сумма: 0
Игрок 5 - Начальная сумма: 375, Конечная сумма: 0
Игрок 17 - Начальная сумма: 120, Конечная сумма: 0
Игрок 46 - Начальная сумма: 368, Конечная сумма: 0
Игрок 60 - Начальная сумма: 304, Конечная сумма: 0
Игрок 35 - Начальная сумма: 435, Конечная сумма: 0
Игрок 70 - Начальная сумма: 330, Конечная сумма: 0
Игрок 62 - Начальная сумма: 393, Конечная сумма: 0
Игрок 75 - Начальная сумма: 203, Конечная сумма: 0
Игрок 21 - Начальная сумма: 425, Конечная сумма: 0
Игрок 7 - Начальная сумма: 407, Конечная сумма: 0
Игрок 13 - Начальная сумма: 483, Конечная сумма: 0
Игрок 24 - Начальная сумма: 370, Конечная сумма: 0
Игрок 18 - Начальная сумма: 311, Конечная сумма: 0
Игрок 22 - Начальная сумма: 428, Конечная сумма: 0
Игрок 14 - Начальная сумма: 451, Конечная сумма: 0
Игрок 65 - Начальная сумма: 405, Конечная сумма: 0
Игрок 26 - Начальная сумма: 236, Конечная сумма: 0
Игрок 63 - Начальная сумма: 323, Конечная сумма: 0
Игрок 64 - Начальная сумма: 301, Конечная сумма: 0
Игрок 31 - Начальная сумма: 373, Конечная сумма: 0
Игрок 93 - Начальная сумма: 343, Конечная сумма: 0
Игрок 91 - Начальная сумма: 360, Конечная сумма: 0
Игрок 12 - Начальная сумма: 465, Конечная сумма: 0
Игрок 83 - Начальная сумма: 330, Конечная сумма: 0
Игрок 27 - Начальная сумма: 424, Конечная сумма: 0
Игрок 39 - Начальная сумма: 385, Конечная сумма: 0
Игрок 29 - Начальная сумма: 421, Конечная сумма: 0
Игрок 45 - Начальная сумма: 300, Конечная сумма: 0
Игрок 54 - Начальная сумма: 487, Конечная сумма: 0
Игрок 55 - Начальная сумма: 256, Конечная сумма: 0
Игрок 73 - Начальная сумма: 476, Конечная сумма: 0
Игрок 81 - Начальная сумма: 445, Конечная сумма: 0
Игрок 79 - Начальная сумма: 400, Конечная сумма: 0
Игрок 80 - Начальная сумма: 420, Конечная сумма: 0
Игрок 20 - Начальная сумма: 391, Конечная сумма: 0
Игрок 92 - Начальная сумма: 492, Конечная сумма: 0
Игрок 25 - Начальная сумма: 375, Конечная сумма: 0
Игрок 59 - Начальная сумма: 391, Конечная сумма: 0
Игрок 41 - Начальная сумма: 468, Конечная сумма: 0
Игрок 72 - Начальная сумма: 427, Конечная сумма: 0
Игрок 90 - Начальная сумма: 481, Конечная сумма: 0
Игрок 4 - Начальная сумма: 475, Конечная сумма: 0
Игрок 6 - Начальная сумма: 465, Конечная сумма: 0
Игрок 1 - Начальная сумма: 482, Конечная сумма: 0
Игрок 44 - Начальная сумма: 450, Конечная сумма: 0
Игрок 58 - Начальная сумма: 410, Конечная сумма: 0
Игрок 71 - Начальная сумма: 402, Конечная сумма: 0
Игрок 74 - Начальная сумма: 491, Конечная сумма: 0
Игрок 87 - Начальная сумма: 374, Конечная сумма: 0
Игрок 11 - Начальная сумма: 439, Конечная сумма: 0
Игрок 38 - Начальная сумма: 327, Конечная сумма: 0
Игрок 37 - Начальная сумма: 449, Конечная сумма: 0
Игрок 76 - Начальная сумма: 460, Конечная сумма: 0
